Tree,Relation_Handling,N_Folds,Model,Threshold,R2,MAE,MAPE,MSE,RMSE
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,gbr,1,0.9737213339234456,5.237609642231872,0.011462374773003868,71.855836004192,8.319805336183363
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,rf,1,0.968223337591471,5.5206203513426475,0.012027446980560593,85.99193261878568,9.156807083173938
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,lgbm,1,0.9675463066650796,5.798403993212711,0.012651870972153348,84.71824958715123,9.168052978799134
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,xgb,1,0.9659348626540991,5.70592638558311,0.012420299226233441,91.01342938231723,9.374892571842935
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,BayesianRidge,1,0.9522549664557399,7.252364055568644,0.016001012532606773,127.1936636782901,11.166138626446056
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,Adaboost,1,0.9466080934430823,8.701948141086156,0.018465567895356357,134.91802570674332,11.552799792541311
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,Lasso,1,0.9462261605670644,8.771783877939885,0.0190322498381472,142.62999648412648,11.876120254064977
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,LassoLars,1,0.9462230912000258,8.772624384645374,0.01903375429511323,142.62379869638488,11.876172504528322
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,et,1,0.9343491242445872,6.713971184471265,0.014683814652437826,185.36906871475128,12.600653379042967
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,dt,1,0.9319177457966153,6.8883061323921995,0.015036343090582069,194.21053743592475,12.92066464819042
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,HubR,1,0.9190763037483753,10.26802272615544,0.022489804099898484,221.89843013564376,14.612371249510336
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,lr,1,-4.4422036269520625e+18,38916402470.29226,83349563.77457443,1.1752229839024857e+22,58340732849.098694
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,gbr,3,0.9602756322122994,6.9359811220241765,0.015301575685088687,114.74843923178733,10.56777536315135
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,lgbm,3,0.95525392171576,7.593264995491779,0.016819218033684337,129.30552744393927,11.202812920447142
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,xgb,3,0.9544388618778841,7.166933992629154,0.01592342812448767,129.6733447517105,11.13557154682847
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,rf,3,0.9534845788522338,7.338009562468541,0.016136503239694778,135.28338692846344,11.502452409209585
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,BayesianRidge,3,0.9478923887274636,8.264844294599403,0.01833964855945598,151.99392054613404,12.269901197243644
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,Adaboost,3,0.942899934353909,9.716389695894806,0.021058311534011852,168.17420646789134,12.786764997530378
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,LassoLars,3,0.939000078578507,10.010804065394446,0.022040002636113658,177.15673692810486,13.172735434808235
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,Lasso,3,0.9389952868073482,10.009298421761251,0.022037066038158103,177.1598413452936,13.172546590465288
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,et,3,0.9034143894030929,9.233667222222222,0.02052542991302065,294.18068559964183,16.481792674513702
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,HubR,3,0.8986549934606071,11.841613746828626,0.02622204797215344,294.2642587961945,17.06730733601932
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,dt,3,0.8982528482909627,9.533937162320884,0.02117887348053838,308.65848555555556,16.930697137025962
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,lr,3,-1.6296459011447226e+16,3920795274.9386263,8552544.413312431,5.331724415263845e+19,5549111180.4829235
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,gbr,5,0.9612534159519042,7.113996822343684,0.015514136541945603,109.8308083735122,10.222340699073936
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,Adaboost,5,0.9481507732451193,9.416573603081837,0.020106801896418832,145.8528922972485,11.818278957232232
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,rf,5,0.9477239315874112,7.978298509241013,0.01739953474512574,150.28515162962384,12.017238361248676
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,xgb,5,0.9463584211700293,8.313053829103389,0.01820456707829421,153.40279896314786,12.083776782341104
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,LassoLars,5,0.9410085880275216,10.21033750756899,0.02243895938160344,169.54487236038725,12.909239092448265
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,Lasso,5,0.9410029318738559,10.211637040743888,0.022441789822393844,169.56486438952942,12.909877739387374
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,BayesianRidge,5,0.9303648203753969,9.47659427051607,0.02110375754750432,196.75857486122942,13.774216347437491
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,lgbm,5,0.9184686856502013,10.330189787224615,0.023198246639963015,230.55341636392063,14.943579762514787
wt_vert_vpod_1.2_LG_F_R6.treefile,leave_out,5,dt,5,0.8978821814195477,10.03773740500985,0.021851643211035776,300.351895914921,16.369934813447355
