Dataset,Props_Used,Model,R2,MAE,MAPE,MSE,RMSE
t1,H1_H2_P1_P2_NCI_SASA_PKA_PKB_,xgb,0.8549519181251526,7.7046014664190565,0.014382580465465856,133.32646184135382,11.459592344014656
t1,H1_H2_P1_P2_NCI_SCT_PKA_PKB_,xgb,0.8514429152011871,7.8970928032694685,0.014740806708449045,137.26535480481377,11.64975270060268
t1,H1_H2_P1_P2_MASS_SASA_SCT_PKA_,xgb,0.850609028339386,7.901760527432401,0.014737353975079156,137.01841556075848,11.614804789725607
t1,H1_H2_P1_P2_MASS_SASA_SCT_PKB_,xgb,0.8549190044403077,7.730603248572274,0.014438198700887106,133.40724919711434,11.44659184330583
t1,H1_H2_P1_P2_MASS_SASA_PKA_PKB_,xgb,0.8574021697044373,7.670773305065829,0.014309526971332665,130.91475235391115,11.345626431688096
t1,H1_H2_P1_P2_MASS_SCT_PKA_PKB_,xgb,0.8578349769115448,7.719143525684639,0.014380885226220136,131.1382802658288,11.36321528629604
t1,H1_H2_P1_P2_SASA_SCT_PKA_PKB_,xgb,0.8580353796482086,7.699236118631552,0.014376253288920953,130.60854197927426,11.3451677205958
t1,H1_H2_P1_V_NCI_MASS_SASA_SCT_,xgb,0.8558648228645325,7.851502120557126,0.01464701344256838,132.35830024148754,11.440669993851888
t1,H1_H2_P1_V_NCI_MASS_SASA_PKA_,xgb,0.8571429312229156,7.7866444259850836,0.014519276034111997,131.4780138033009,11.402639200430471
t1,H1_H2_P1_V_NCI_MASS_SASA_PKB_,xgb,0.856437087059021,7.735150373293438,0.014418689466138123,132.32770908779807,11.412053191396177
t1,H1_H2_P1_V_NCI_MASS_SCT_PKA_,xgb,0.8512271523475647,7.861612075996997,0.01466234594718939,136.94267911627492,11.639259013067278
t1,H1_H2_P1_V_NCI_MASS_SCT_PKB_,xgb,0.8574636042118072,7.702555425837247,0.014371598941669662,130.95736203655935,11.3783081864616
t1,H1_H2_P1_V_NCI_MASS_PKA_PKB_,xgb,0.8550510704517365,7.770738493262662,0.014488290060408537,133.51285464054249,11.478903768162724
t1,H1_H2_P1_V_NCI_SASA_SCT_PKA_,xgb,0.8542437791824341,7.985419877469852,0.014893936580003053,134.24461905891832,11.544253539045062
t1,H1_H2_P1_V_NCI_SASA_SCT_PKB_,xgb,0.8565120041370392,7.817939527505618,0.014606728305769558,132.36484940087323,11.446548629805465
t1,H1_H2_P1_V_NCI_SASA_PKA_PKB_,xgb,0.855930495262146,7.750153915660384,0.014456417241590414,132.58556491759012,11.449690643714007
t1,H1_H2_P1_V_NCI_SCT_PKA_PKB_,xgb,0.8584151923656463,7.734810751632962,0.014411271443472595,130.33322861501185,11.358013379743705
t1,H1_H2_P1_V_MASS_SASA_SCT_PKA_,xgb,0.8544606566429138,7.874965602751186,0.014683049117190827,133.6101757064094,11.495025510945705
t1,H1_H2_P1_V_MASS_SASA_SCT_PKB_,xgb,0.8601267755031585,7.621619437605361,0.014226028134548045,128.50934946078587,11.229214811208035
t1,H1_H2_P1_V_MASS_SASA_PKA_PKB_,xgb,0.8567986786365509,7.725041539940591,0.014415027530801774,131.94606185736652,11.428982054112064
t1,H1_H2_P1_V_MASS_SCT_PKA_PKB_,xgb,0.8591437220573426,7.663722880731183,0.014283057278189081,129.87366744360315,11.328805015373506
t1,H1_H2_P1_V_SASA_SCT_PKA_PKB_,xgb,0.8590655326843262,7.742052197830056,0.014438630291522037,129.54779847059498,11.32170347433571
t1,H1_H2_P1_NCI_MASS_SASA_SCT_PKA_,xgb,0.849697721004486,7.953134246156507,0.014843446656785672,138.5625653334756,11.689664593928063
t1,H1_H2_P1_NCI_MASS_SASA_SCT_PKB_,xgb,0.858450573682785,7.696107858002124,0.014353303536968533,129.78438914822294,11.305909113077186
t1,H1_H2_P1_NCI_MASS_SASA_PKA_PKB_,xgb,0.8520060896873474,7.787142521012166,0.014525780956363985,136.40788649530873,11.58618282053957
t1,H1_H2_P1_NCI_MASS_SCT_PKA_PKB_,xgb,0.8551728844642639,7.695095373968843,0.014339487426357114,133.72572757343903,11.481109591410693
t1,H1_H2_P1_NCI_SASA_SCT_PKA_PKB_,xgb,0.8571946680545807,7.6786042531331375,0.014328041672662167,131.24363147220484,11.375258745173152
t1,H1_H2_P1_MASS_SASA_SCT_PKA_PKB_,xgb,0.8554323256015778,7.812054599215867,0.014576925182582167,132.86009906953475,11.452040965196307
t1,H1_H2_P2_V_NCI_MASS_SASA_SCT_,xgb,0.851335871219635,7.905845105959455,0.014760793917010578,136.83683947170013,11.610549239675994
t1,H1_H2_P2_V_NCI_MASS_SASA_PKA_,xgb,0.8476998925209045,8.012152362691946,0.014957677303793809,140.1513997774436,11.7306255526874
t1,H1_H2_P2_V_NCI_MASS_SASA_PKB_,xgb,0.8569339156150818,7.673065264870256,0.014319262015899812,131.58684191776527,11.392223638576231
t1,H1_H2_P2_V_NCI_MASS_SCT_PKA_,xgb,0.8468776524066925,7.9643470927590245,0.014846134003870462,140.86987188212464,11.79144336130126
t1,H1_H2_P2_V_NCI_MASS_SCT_PKB_,xgb,0.8506527841091156,7.8215145425985835,0.01460473075339962,137.62191600834362,11.633498064974553
t1,H1_H2_P2_V_NCI_MASS_PKA_PKB_,xgb,0.8519851863384247,7.831562463567049,0.014598752117747003,136.67792734823055,11.59820287698562
t1,H1_H2_P2_V_NCI_SASA_SCT_PKA_,xgb,0.8535435914993286,7.941608445298085,0.014818681837179862,134.00781094808005,11.501997660481255
t1,H1_H2_P2_V_NCI_SASA_SCT_PKB_,xgb,0.8569140255451202,7.737145229168197,0.014437697409314105,131.88831304942158,11.400818590106807
t1,H1_H2_P2_V_NCI_SASA_PKA_PKB_,xgb,0.8554079592227936,7.719202285575269,0.01441440733649397,132.63803039564112,11.40587997032081
t1,H1_H2_P2_V_NCI_SCT_PKA_PKB_,xgb,0.8559088230133056,7.845353282980287,0.01463059646840482,132.32097793529312,11.416339403877515
t1,H1_H2_P2_V_MASS_SASA_SCT_PKA_,xgb,0.8551526546478272,7.867448851008399,0.014672075440591594,132.93459800800696,11.46119079139521
t1,H1_H2_P2_V_MASS_SASA_SCT_PKB_,xgb,0.8606716394424438,7.608309704931054,0.014197331263435762,128.07733591568677,11.24374742310955
