Dataset,Props_Used,Model,R2,MAE,MAPE,MSE,RMSE
vert_mnm,H1_,xgb,0.9770568982764545,5.350206777244738,0.01179396667743492,84.82871479483205,9.029258778389936
vert_mnm,H1_,gbr,0.9766915632420019,5.535380924418904,0.01219108669339331,86.45428263800218,9.120135478707976
vert_mnm,H2_,xgb,0.9798539419598423,5.328838129406529,0.01171640658657554,74.59159804154197,8.529833359740973
vert_mnm,H2_,gbr,0.979263325379417,5.54736598178336,0.012195582719793091,77.0911896788026,8.63083602922418
vert_mnm,H3_,xgb,0.969876593731968,6.353458589045703,0.014569041891469733,111.7894717130245,10.47279467552409
vert_mnm,H3_,gbr,0.9698367095502561,6.5917412679640774,0.015071061110221093,112.05600712825398,10.47708107779562
vert_mnm,P1_,gbr,0.9807722778486847,5.079800588363737,0.011206705897024596,71.18034528864567,8.336070768362186
vert_mnm,P1_,xgb,0.9805982877614587,4.899456827470251,0.010886526917015232,71.66363397345872,8.378114026287363
vert_mnm,P2_,xgb,0.9805492984103941,5.223503636173549,0.01157294083222362,72.25820168328578,8.347737137548304
vert_mnm,P2_,gbr,0.9794590847630303,5.543168585922956,0.012205549253044257,76.08235099885813,8.581106041670582
vert_mnm,V_,xgb,0.9823257826930017,4.817826487604358,0.010669233607295523,65.79926056592483,7.96388529232144
vert_mnm,V_,gbr,0.979863675268154,5.221910010945736,0.011569762157159056,74.63063220411397,8.510554650453908
vert_mnm,NCI_,xgb,0.9806288192117849,4.98500540860132,0.011052005700512334,71.6655737024956,8.342222016927513
vert_mnm,NCI_,gbr,0.9796535327333447,5.198638659526983,0.011475971638918269,74.75732430966062,8.524209956898117
vert_mnm,MASS_,xgb,0.9775083794565909,5.703668652379111,0.012559525556767115,83.60375005601985,8.967924949256455
vert_mnm,MASS_,gbr,0.9771334724099999,5.9618150618991335,0.013109186942076159,85.2507112341524,9.065113634792088
vert_mnm,SASA_,gbr,0.9802774239547579,5.4467629670244175,0.011996605000624624,73.38054896115754,8.405402091149158
vert_mnm,SASA_,xgb,0.9802129616926406,5.23705300926793,0.011594534907336768,73.49165708993846,8.424728324714891
vert_mnm,SCT_,gbr,0.9678005837333326,6.873166522043135,0.01543546501003398,119.20277229320202,10.821159169345602
vert_mnm,SCT_,xgb,0.9645369663505943,6.818447243310679,0.015376287707821812,130.6646170646257,11.33822203508937
vert_mnm,PKA_,xgb,0.9800546788717581,4.8093346823499035,0.010767285572952739,74.04050189886456,8.440881436684522
vert_mnm,PKA_,gbr,0.9785366356540696,5.094122824771686,0.011361843068309896,79.52315078882296,8.745239342103195
vert_mnm,PKB_,gbr,0.9797114385564548,5.094298593189805,0.01144039344544796,75.10865085174086,8.557604919907813
vert_mnm,PKB_,xgb,0.9793645770727577,5.054645022890592,0.011415379584747257,76.32280098930448,8.64006592766534
vert_mnm,H1_H2_,gbr,0.9785063669748697,5.446127033355821,0.011978949937021506,79.77464085075724,8.798743763300816
vert_mnm,H1_H2_,xgb,0.9784994389993347,5.279544829849764,0.011620595291725813,79.57575876543554,8.814773014506716
vert_mnm,H1_H3_,xgb,0.9806834602767248,4.643408266440364,0.010363829779664612,71.68352436580976,8.281742904257344
vert_mnm,H1_H3_,gbr,0.9787239202676238,4.935836838849794,0.01096981650473626,79.12379153546833,8.701741494493621
vert_mnm,H1_P1_,gbr,0.9802131789048317,5.021904765334879,0.011066746231290257,73.64427927508564,8.440580586613105
vert_mnm,H1_P1_,xgb,0.9790187006947992,4.933435720554802,0.010908320253306522,77.46664590011386,8.675041876462268
vert_mnm,H1_P2_,xgb,0.980464101706296,5.160741540323711,0.011365911011705967,72.31123209030389,8.363965351939395
vert_mnm,H1_P2_,gbr,0.9792910731637663,5.431567293627627,0.011926198757519544,76.92237111362392,8.609291448954108
vert_mnm,H1_V_,xgb,0.9824408307272975,4.811996923928112,0.010646169835009529,64.99567962447483,7.911563726650367
vert_mnm,H1_V_,gbr,0.980699732813982,5.086611600374363,0.0112505261080021,71.84905277722213,8.303722832012369
vert_mnm,H1_NCI_,gbr,0.9794904542506163,4.873922283951606,0.010832390249300054,76.07850957672456,8.545441075346087
vert_mnm,H1_NCI_,xgb,0.979455184461731,4.7544273821379495,0.010577438651256859,76.0436500974877,8.549101112495338
vert_mnm,H1_MASS_,xgb,0.980008530221876,5.222144523318051,0.011472558714593701,73.99921787291302,8.466010025845112
vert_mnm,H1_MASS_,gbr,0.9787693739836021,5.4593939386183905,0.01198710424053678,78.86595357576441,8.71835324399331
vert_mnm,H1_SASA_,xgb,0.9803368712571852,5.2279274461300576,0.01147252678483655,72.76966555548616,8.39095125576294
vert_mnm,H1_SASA_,gbr,0.9790874396428502,5.440497346531201,0.011940409214636105,77.69221932986173,8.648725033698929
vert_mnm,H1_SCT_,xgb,0.978877783560718,5.2598683276703735,0.01157555093031037,78.14540961979115,8.695352553449144
vert_mnm,H1_SCT_,gbr,0.9780600721686235,5.383859770837925,0.011813169595908014,81.09545530282702,8.81699464008464
vert_mnm,H1_PKA_,xgb,0.9809477789581853,4.626604648796236,0.010260081614259255,70.52312433412925,8.235061776978544
vert_mnm,H1_PKA_,gbr,0.980201358761264,4.838691434319911,0.010722482978126334,73.43495836135088,8.401954452861151
vert_mnm,H1_PKB_,xgb,0.9819396718282952,4.60547137766377,0.010234510960944356,67.13981489578465,8.015897198435274
vert_mnm,H1_PKB_,gbr,0.981745009488032,4.761998361709141,0.01052829381319168,67.89578110252741,8.085156341641806
