Family,Genus,Species,LambdaMax
Holocentridae,Myripristis,berndti,506
Holocentridae,Neoniphon,sammara,502
Holocentridae,Sargocentron,xantherythrum,490
Istiophoridae,Istiophorus, platypterus,484
Lepisostedidae,Lepisosteus,platostomus,529
Myctophidae,Benthosema,suborbitale,487
Myctophidae,Diaphus,holti,491
Myctophidae,Diaphus,rafinesquei,488
Myctophidae,Electrona,risso,482
Myctophidae,Lampanyctus,crocodilus,487
Myctophidae,Lampanyctus,festivus,489
Myctophidae,Lobianchia,gemellarii,485
Myctophidae,Nannobrachium,atrum,483
Myctophidae,Notoscopelus,resplendens,486
Myctophidae,Taaningichthys,bathyphilus,487
Halosauridae,Halosauropsis,macrochir,481
Notacanthidae,Notacanthus,bonapartei,481
Ophidiidae,Dicrolene,intronigra,479
Bathylagidae,Bathylagus,greyae,488
Bathylagidae,Bathylagus,longirostris,474
Microstomatidae,Microstoma,microstoma,479
Microstomatidae,Nansenia,longicauda,479
Osmeridae,Hypomesus,pretiosus,500
Osmeridae,Osmerus,dentex,516
Osmeridae,Osmerus,eperlanus,518
Osmeridae,Spirinchus,thaleichthys,499
Acanthuridae,Acanthurus,achilles,496
Acanthuridae,Acanthurus,nigroris,494
Acanthuridae,Acanthurus,triostegus,493
Acanthuridae,Ctenochaetus,strigosus,486
Acanthuridae,Naso,lituratus,497
Acanthuridae,Naso,unicornis,494
Acanthuridae,Zebrasoma,flavescens,494
Acanthuridae,Zebrasoma,velifer,494
Ammodytidae,Ammodytes,hexapterus,470
Ammodytidae,Hyperoplus,lanceolatus,486
Apogonidae,Pristiapogon,kallopterus,492
Bathymasteridae,Ronquilus,jordani,492
Carangidae,Trachurus,mediterraneus,502
Centracanthidae,Micropterus,salmoides,528
Centracanthidae,Spicara,smaris,502
Chaetodontidae,Chaetodon,kleinii,496
Chaetodontidae,Chaetodon,unimaculatus,496
Chaetodontidae,Forcipiger,flavissimus,488
Chiasmodontidae,Chiasmodon,niger,483
Embiotocidae,Cymatogaster,aggregata,500
Embiotocidae,Embiotoca,jacksoni,505
Embiotocidae,Embiotoca,lateralis,499
Embiotocidae,Hypsurus,caryi,506
Embiotocidae,Micrometrus,aurora,519
Embiotocidae,Micrometrus,minimus,518
Embiotocidae,Rhacochilus,vacca,507
Embiotocidae,Zalembius,rosaceus,494
Epigonidae,Epigonus, telescopus,492
Helostomatidae,Helostoma,temminkii,523
Howellidae,Howella,sherborni,463
Istiophoridae,Makaira,nigricans,484
Kuhliidae,Kuhlia,sandvicensis,491
Labridae,Bodianus,bilunnulatus,485
Labridae,Cirrhilabrus,solorensis,497
Labridae,Symphodus,melops,520
Latidae,Lates,calcarifer,516
Lutjanidae,Lutjanus,adetii,496
Lutjanidae,Lutjanus,bohar,497
Lutjanidae,Lutjanus,carponotatus,499
Lutjanidae,Lutjanus,erythropterus,496
Lutjanidae,Lutjanus,fulviflamma,505
Lutjanidae,Lutjanus,johnii,498
Lutjanidae,Lutjanus,malabaricus,494
Lutjanidae,Lutjanus,quinquelineatus,499
Lutjanidae,Lutjanus,russellii,499
Lutjanidae,Lutjanus,sebae,494
Mullidae,Mulloidichthys,flavolineatus,486
Mullidae,Mullus,barbatus,497
Mullidae,Parupeneus,multifasceatus,494
Mullidae,Upeneus,tragula,498
Nototheniidae,Dissostichus,mawsoni,504
Nototheniidae,Pagothenia,borchgrevinki,499
Nototheniidae,Trematomus,bernacchii,502
Nototheniidae,Trematomus,hansoni,501
