,R2,MAE,MSE,RMSE,MAPE,SD,ASD
gbr,0.9324333728554224,9.029600968400755,230.99267871747892,15.001098645125548,0.01940889827150901,15.200154909437407,12.227332121118689
BayesianRidge,0.9314967779807463,9.535245599144984,232.74143954602968,15.07458765588125,0.020391705270433165,15.258926941915306,11.910963701436827
rf,0.9307066607568231,8.429580848665221,239.9351047661168,15.091765447991738,0.018303627836545086,15.494402902555379,12.999673016581097
xgb,0.9229287912972168,8.537297014178652,265.7034599254293,15.90295946387858,0.0185022953512885,16.306250775448046,13.889958299400066
